ppm,val
-3.176876,0.000341
-3.176387,0.000338
-3.175898,0.000332
-3.175409,0.000326
-3.174920,0.000327
-3.174430,0.000326
-3.173941,0.000326
-3.173452,0.000331
-3.172963,0.000347
-3.172474,0.000341
-3.171984,0.000334
-3.171495,0.000325
-3.171006,0.000333
-3.170517,0.000336
-3.170028,0.000333
-3.169538,0.000333
-3.169049,0.000331
-3.168560,0.000336
-3.168071,0.000342
-3.167582,0.000325
-3.167092,0.000342
-3.166603,0.000330
-3.166114,0.000325
-3.165625,0.000321
-3.165136,0.000331
-3.164646,0.000334
-3.164157,0.000334
-3.163668,0.000335
-3.163179,0.000317
-3.162690,0.000314
-3.162200,0.000346
-3.161711,0.000344
-3.161222,0.000337
-3.160733,0.000337
-3.160244,0.000336
-3.159754,0.000333
-3.159265,0.000340
-3.158776,0.000336
-3.158287,0.000332
-3.157798,0.000327
-3.157308,0.000317
-3.156819,0.000328
-3.156330,0.000328
-3.155841,0.000335
-3.155352,0.000328
-3.154862,0.000340
-3.154373,0.000331
-3.153884,0.000326
-3.153395,0.000327
-3.152906,0.000341
-3.152416,0.000334
-3.151927,0.000335
-3.151438,0.000325
-3.150949,0.000337
-3.150460,0.000333
-3.149970,0.000329
-3.149481,0.000332
-3.148992,0.000336
-3.148503,0.000329
-3.148014,0.000329
-3.147524,0.000331
-3.147035,0.000340
-3.146546,0.000344
-3.146057,0.000337
-3.145568,0.000323
-3.145078,0.000325
-3.144589,0.000325
-3.144100,0.000330
-3.143611,0.000322
-3.143122,0.000307
-3.142632,0.000336
-3.142143,0.000347
-3.141654,0.000332
-3.141165,0.000339
-3.140676,0.000330
-3.140186,0.000320
-3.139697,0.000327
-3.139208,0.000322
-3.138719,0.000333
-3.138230,0.000338
-3.137740,0.000320
-3.137251,0.000318
-3.136762,0.000326
-3.136273,0.000322
-3.135784,0.000328
-3.135294,0.000311
-3.134805,0.000334
-3.134316,0.000332
-3.133827,0.000332
-3.133338,0.000338
-3.132848,0.000334
-3.132359,0.000337
-3.131870,0.000333
-3.131381,0.000336
-3.130892,0.000334
-3.130402,0.000325
-3.129913,0.000317
-3.129424,0.000315
-3.128935,0.000330
-3.128446,0.000329
-3.127956,0.000323
-3.127467,0.000331
-3.126978,0.000345
-3.126489,0.000322
-3.126000,0.000329
-3.125510,0.000342
-3.125021,0.000328
-3.124532,0.000319
-3.124043,0.000317
-3.123554,0.000331
-3.123064,0.000331
-3.122575,0.000325
-3.122086,0.000326
-3.121597,0.000340
-3.121108,0.000337
-3.120618,0.000338
-3.120129,0.000330
-3.119640,0.000327
-3.119151,0.000343
-3.118662,0.000345
-3.118172,0.000331
-3.117683,0.000324
-3.117194,0.000323
-3.116705,0.000328
-3.116216,0.000317
-3.115726,0.000328
-3.115237,0.000317
-3.114748,0.000321
-3.114259,0.000328
-3.113770,0.000322
-3.113280,0.000326
-3.112791,0.000328
-3.112302,0.000327
-3.111813,0.000331
-3.111324,0.000340
-3.110834,0.000323
-3.110345,0.000336
-3.109856,0.000323
-3.109367,0.000319
-3.108878,0.000329
-3.108388,0.000330
-3.107899,0.000323
-3.107410,0.000335
-3.106921,0.000313
-3.106432,0.000317
-3.105942,0.000327
-3.105453,0.000309
-3.104964,0.000315
-3.104475,0.000327
-3.103986,0.000326
-3.103496,0.000324
-3.103007,0.000321
-3.102518,0.000327
-3.102029,0.000346
-3.101540,0.000333
-3.101050,0.000336
-3.100561,0.000327
-3.100072,0.000309
-3.099583,0.000327
-3.099094,0.000342
-3.098604,0.000328
-3.098115,0.000333
-3.097626,0.000322
-3.097137,0.000322
-3.096648,0.000331
-3.096158,0.000339
-3.095669,0.000337
-3.095180,0.000333
-3.094691,0.000330
-3.094202,0.000325
-3.093712,0.000335
-3.093223,0.000328
-3.092734,0.000322
-3.092245,0.000328
-3.091756,0.000327
-3.091266,0.000314
-3.090777,0.000319
-3.090288,0.000332
-3.089799,0.000337
-3.089310,0.000336
-3.088820,0.000328
-3.088331,0.000333
-3.087842,0.000338
-3.087353,0.000327
-3.086864,0.000312
-3.086374,0.000318
-3.085885,0.000340
-3.085396,0.000340
-3.084907,0.000314
-3.084418,0.000327
-3.083928,0.000314
-3.083439,0.000337
-3.082950,0.000324
-3.082461,0.000324
-3.081972,0.000332
-3.081482,0.000318
-3.080993,0.000330
-3.080504,0.000322
-3.080015,0.000325
-3.079526,0.000337
-3.079036,0.000345
-3.078547,0.000338
-3.078058,0.000332
-3.077569,0.000337
-3.077080,0.000338
-3.076590,0.000324
-3.076101,0.000326
-3.075612,0.000323
-3.075123,0.000321
-3.074634,0.000336
-3.074144,0.000325
-3.073655,0.000324
-3.073166,0.000318
-3.072677,0.000321
-3.072188,0.000322
-3.071698,0.000322
-3.071209,0.000315
-3.070720,0.000325
-3.070231,0.000320
-3.069742,0.000312
