ppm	val
1.86101	0.259799	
1.86125	0.175706	
1.86149	0.0916128	
1.86174	0.00751972	
1.86198	-0.0765731	
1.86222	0.000477314	
1.86247	0.0775278	
1.86271	0.00179029	
1.86295	-0.0739472	
1.86319	-0.0541921	
1.86344	-0.0344372	
1.86368	-0.0146821	
1.86392	0.00507283	
1.86417	-0.0780654	
1.86441	-0.161203	
1.86465	-0.0915537	
1.8649	-0.0219038	
1.86514	-0.0324676	
1.86538	-0.0430315	
1.86563	-0.0535953	
1.86587	-0.0641592	
1.86611	0.00859404	
1.86635	0.0813475	
1.8666	0.119724	
1.86684	0.0664268	
1.86708	-0.0556245	
1.86733	-0.0860031	
1.86757	-0.0189793	
1.86781	-0.0436282	
1.86806	-0.15064	
1.8683	-0.0743053	
1.86854	0.0937018	
1.86879	0.0783634	
1.86903	-0.0267382	
1.86927	-0.0401666	
1.86951	0.0361676	
1.86976	0.112502	
1.87	-0.0109818	
1.87024	-0.134465	
1.87049	0.0170691	
1.87073	0.168604	
1.87097	0.0718579	
1.87122	-0.024888	
1.87146	0.0922694	
1.8717	0.209427	
1.87194	0.0568178	
1.87219	-0.0957911	
1.87243	-0.0306771	
1.87267	0.12611	
1.87292	0.0900013	
1.87316	-0.0377793	
1.8734	-0.0586088	
1.87365	0.103908	
1.87389	0.0494769	
1.87413	-0.00495386	
1.87438	-0.0479255	
1.87462	-0.0908971	
1.87486	-0.0269172	
1.8751	0.0370629	
1.87535	0.101043	
1.87559	0.165023	
1.87583	0.0220227	
1.87608	-0.120977	
1.87632	-0.0500741	
1.87656	0.0208292	
1.87681	0.0143833	
1.87705	0.00793767	
1.87729	0.0473282	
1.87753	0.0867188	
1.87778	0.0657105	
1.87802	0.0447023	
1.87826	0.0236938	
1.87851	0.00268555	
1.87875	-0.0202327	
1.87899	-0.0431509	
1.87924	-0.0202327	
1.87948	0.00268555	
1.87972	-0.0498354	
1.87997	-0.102356	
1.88021	-0.00208902	
1.88045	0.0981779	
1.88069	0.0456572	
1.88094	-0.00686383	
1.88118	-0.0135481	
1.88142	-0.0202327	
1.88167	0.0393906	
1.88191	0.0990136	
1.88215	0.0669639	
1.8824	0.0349143	
1.88264	-0.0143239	
1.88288	-0.0635624	
1.88312	0.0399873	
1.88337	0.143537	
1.88361	0.0959697	
1.88385	0.0484025	
1.8841	0.0466716	
1.88434	0.0449409	
1.88458	0.0231566	
1.88483	0.00137258	
1.88507	0.0712612	
1.88531	0.14115	
1.88556	0.0273943	
1.8858	-0.0863612	
1.88604	-0.0473287	
1.88628	-0.00829601	
1.88653	-0.0380182	
1.88677	-0.0677402	
1.88701	-0.00578952	
1.88726	0.0561614	
1.8875	0.0894644	
1.88774	0.122767	
1.88799	0.0643976	
1.88823	0.0060277	
1.88847	-0.0236943	
1.88872	-0.0534163	
1.88896	0.00853443	
1.8892	0.0704851	
1.88944	0.0389726	
1.88969	0.00746012	
1.88993	-0.0240524	
1.89017	-0.0555649	
1.89042	-0.0431509	
1.89066	-0.0307369	
1.8909	-0.0183227	
1.89115	-0.00590873	
1.89139	-0.0464931	
1.89163	-0.0870774	
1.89187	-0.127662	
1.89212	-0.168246	
1.89236	-0.060817	
1.8926	0.046612	
1.89285	0.0623684	
1.89309	0.0781245	
1.89333	0.090837	
1.89358	0.103549	
1.89382	0.0704255	
1.89406	0.0373015	
1.89431	0.0213664	
1.89455	0.00543094	
1.89479	-0.0105045	
1.89503	-0.0264397	
1.89528	0.0344965	
1.89552	0.0954325	
1.89576	0.110532	
1.89601	0.125632	
1.89625	0.00226784	
1.89649	-0.121097	
1.89674	-0.0916729	
1.89698	-0.0622494	
1.89722	-0.0937021	
1.89746	-0.125155	
1.89771	-0.064935	
1.89795	-0.0047152	
1.89819	-0.0266187	
1.89844	-0.0485222	
1.89868	-0.070426	
1.89892	-0.0923295	
1.89917	-0.14861	
1.89941	-0.204891	
1.89965	-0.0472689	
1.8999	0.110353	
1.90014	0.0531175	
1.90038	-0.0041182	
1.90062	-0.0155177	
1.90087	-0.0269172	
1.90111	-0.00179076	
1.90135	0.0233357	
1.9016	0.0484622	
1.90184	0.0735886	
1.90208	-0.00919127	
1.90233	-0.0919714	
1.90257	-0.0830786	
1.90281	-0.0741858	
1.90305	-0.0356905	
1.9033	0.00280499	
1.90354	-0.0503724	
1.90378	-0.10355	
1.90403	-0.0421362	
1.90427	0.0192773	
1.90451	-0.0109818	
1.90476	-0.0412409	
1.905	-0.0737681	
1.90524	-0.106295	
1.90549	-0.0471497	
1.90573	0.011996	
1.90597	-0.0348549	
1.90621	-0.081706	
1.90646	-0.0368841	
1.9067	0.00793767	
1.90694	-0.024112	
1.90719	-0.0561616	
1.90743	-0.0423751	
1.90767	-0.0285883	
1.90792	-0.0701871	
1.90816	-0.111786	
1.9084	-0.107548	
1.90865	-0.103311	
1.90889	-0.0315127	
1.90913	0.0402856	
1.90937	0.0223212	
1.90962	-0.087316	
1.90986	-0.174035	
1.9101	-0.0774088	
1.91035	0.0650539	
1.91059	0.0241714	
1.91083	-0.0558634	
1.91108	-0.0442252	
1.91132	-0.0325871	
1.91156	-0.112622	
1.9118	-0.213665	
1.91205	-0.131362	
1.91229	0.00250649	
1.91253	-0.0469706	
1.91278	-0.143478	
1.91302	-0.0566392	
1.91326	0.121872	
1.91351	0.117038	
1.91375	-0.0377197	
1.91399	-0.00913167	
1.91424	0.170335	
1.91448	0.258128	
1.91472	0.146342	
1.91496	0.0345562	
1.91521	0.130944	
1.91545	0.227332	
1.91569	0.0706642	
1.91594	-0.0860031	
1.91618	-0.0306771	
1.91642	0.116322	
1.91667	0.163113	
1.91691	0.0265586	
1.91715	-0.00686383	
1.91739	0.0513866	
1.91764	0.00555038	
1.91788	-0.0402861	
1.91812	0.0723951	
1.91837	0.185076	
1.91861	0.154996	
1.91885	0.124916	
1.9191	0.0948358	
1.91934	0.0647557	
1.91958	0.166455	
1.91983	0.268155	
1.92007	0.325927	
1.92031	0.200355	
1.92055	0.0503721	
1.9208	-0.00793791	
1.92104	0.0235147	
1.92128	0.0549676	
1.92153	-0.00334239	
1.92177	-0.0616524	
1.92201	0.0328252	
1.92226	0.127303	
1.9225	-0.0293641	
1.92274	-0.186031	
1.92298	-0.0676806	
1.92323	0.0506704	
1.92347	-0.052521	
1.92371	-0.155713	
1.92396	-0.045001	
1.9242	0.0657105	
1.92444	0.0338399	
1.92469	0.00196934	
1.92493	0.0617714	
1.92517	0.121574	
1.92542	0.0543709	
1.92566	-0.0128319	
1.9259	-0.0341985	
1.92614	-0.0555649	
1.92639	-0.0821834	
1.92663	-0.108802	
1.92687	-0.0437477	
1.92712	0.0213065	
1.92736	-0.0425541	
1.9276	-0.106415	
1.92785	-0.0805123	
1.92809	0.0370629	
1.92833	0.076334	
1.92858	-0.0677402	
1.92882	-0.206085	
1.92906	-0.161084	
1.9293	-0.0673821	
1.92955	0.02632	
1.92979	0.0398083	
1.93003	0.0532966	
1.93028	0.0278716	
1.93052	0.00244689	
1.93076	0.0228584	
1.93101	0.0432699	
1.93125	0.0780053	
1.93149	0.112741	
1.93173	0.0558033	
1.93198	-0.00113416	
1.93222	-0.038615	
1.93246	-0.0760958	
1.93271	-0.0219038	
1.93295	0.0322883	
1.93319	0.0129509	
1.93344	-0.00638628	
1.93368	0.020113	
1.93392	0.046612	
1.93417	-0.02262	
1.93441	-0.0918519	
1.93465	-0.00829601	
1.93489	0.0752599	
1.93514	-0.00447631	
1.93538	-0.0842125	
1.93562	-0.0111609	
1.93587	0.0618908	
1.93611	0.0198741	
1.93635	-0.0221424	
1.9366	0.0275135	
1.93684	0.0771697	
1.93708	-0.079438	
1.93732	-0.236046	
1.93757	-0.171111	
1.93781	0.0771697	
1.93805	0.215156	
1.9383	0.169797	
1.93854	0.0346756	
1.93878	-0.00877357	
1.93903	0.0661881	
1.93927	0.14115	
1.93951	0.130168	
1.93976	0.119186	
1.94	0.0827799	
1.94024	0.0463734	
1.94048	0.00996685	
1.94073	-0.0264397	
1.94097	0.0517447	
1.94121	0.129929	
1.94146	0.208114	
1.9417	0.286298	
1.94194	0.223392	
1.94219	0.160487	
1.94243	0.189254	
1.94267	0.218021	
1.94291	0.15798	
1.94316	0.0979393	
1.9434	0.0837348	
1.94364	0.0695302	
1.94389	0.0902998	
1.94413	0.111069	
1.94437	0.131839	
1.94462	0.152609	
1.94486	0.0530579	
1.9451	-0.0464931	
1.94535	0.17863	
1.94559	0.403754	
1.94583	0.484206	
1.94607	0.381313	
1.94632	0.335716	
1.94656	0.290118	
1.9468	0.234016	
1.94705	0.177914	
1.94729	0.213485	
1.94753	0.249056	
1.94778	0.275316	
1.94802	0.301577	
1.94826	0.236165	
1.9485	0.170752	
1.94875	0.190328	
1.94899	0.209904	
1.94923	0.275316	
1.94948	0.340729	
1.94972	0.285105	
1.94996	0.22948	
1.95021	0.179585	
1.95045	0.12969	
1.95069	0.169559	
1.95094	0.3011	
1.95118	0.444099	
1.95142	0.403754	
1.95166	0.258188	
1.95191	0.204294	
1.95215	0.240163	
1.95239	0.276033	
1.95264	0.200176	
1.95288	0.124319	
1.95312	0.145864	
1.95337	0.16741	
1.95361	0.170812	
1.95385	0.265887	
1.9541	0.418257	
1.95434	0.387281	
1.95458	0.220707	
1.95482	0.145805	
1.95507	0.282896	
1.95531	0.419988	
1.95555	0.514346	
1.9558	0.608705	
1.95604	0.720252	
1.95628	0.648453	
1.95653	0.467793	
1.95677	0.378807	
1.95701	0.501813	
1.95725	0.624819	
1.9575	0.55875	
1.95774	0.492681	
1.95798	0.5794	
1.95823	0.666119	
1.95847	0.636338	
1.95871	0.606556	
1.95896	0.729562	
1.9592	0.852568	
1.95944	0.851434	
1.95969	0.850301	
1.95993	0.849167	
1.96017	0.848033	
1.96041	0.830665	
1.96066	0.813297	
1.9609	0.887602	
1.96114	0.961907	
1.96139	0.931171	
1.96163	0.900434	
1.96187	0.915534	
1.96212	0.930634	
1.96236	0.954328	
1.9626	0.978022	
1.96284	1.00172	
1.96309	1.02541	
1.96333	0.918995	
1.96357	0.812581	
1.96382	0.797839	
1.96406	0.783098	
1.9643	0.72443	
1.96455	0.665761	
1.96479	0.759881	
1.96503	0.854001	
1.96528	0.758091	
1.96552	0.66218	
1.96576	0.719058	
1.966	0.775936	
1.96625	0.783157	
1.96649	0.790379	
1.96673	0.889273	
1.96698	0.988168	
1.96722	0.926754	
1.96746	0.865341	
1.96771	0.956715	
1.96795	1.04809	
1.96819	0.998135	
1.96843	0.94818	
1.96868	1.11213	
1.96892	1.27608	
1.96916	1.24212	
1.96941	1.20816	
1.96965	1.26587	
1.96989	1.32359	
1.97014	1.34119	
1.97038	1.3588	
1.97062	1.52919	
1.97087	1.69959	
1.97111	1.75587	
1.97135	1.81215	
1.97159	1.86843	
1.97184	1.92471	
1.97208	1.89314	
1.97232	1.86157	
1.97257	1.98278	
1.97281	2.104	
1.97305	2.15192	
1.9733	2.19985	
1.97354	2.24777	
1.97378	2.2957	
1.97403	2.18893	
1.97427	2.08215	
1.97451	2.18928	
1.97475	2.29641	
1.975	2.21966	
1.97524	2.14291	
1.97548	2.21322	
1.97573	2.28352	
1.97597	2.22014	
1.97621	2.06508	
1.97646	2.05327	
1.9767	2.13312	
1.97694	2.13802	
1.97718	1.99012	
1.97743	1.93008	
1.97767	2.02283	
1.97791	2.06401	
1.97816	1.9524	
1.9784	1.84462	
1.97864	1.88962	
1.97889	2.02056	
1.97913	2.05983	
1.97937	2.00743	
1.97962	1.95503	
1.97986	2.00098	
1.9801	2.04694	
1.98034	2.13873	
1.98059	2.23052	
1.98083	2.29892	
1.98107	2.36732	
1.98132	2.52739	
1.98156	2.68746	
1.9818	2.78068	
1.98205	2.87391	
1.98229	2.92129	
1.98253	2.96868	
1.98277	3.04161	
1.98302	3.11455	
1.98326	3.34027	
1.9835	3.56599	
1.98375	3.62842	
1.98399	3.69084	
1.98423	3.84494	
1.98448	3.99905	
1.98472	4.12689	
1.98496	4.25473	
1.98521	4.38257	
1.98545	4.51041	
1.98569	4.63156	
1.98593	4.75272	
1.98618	4.91971	
1.98642	5.0867	
1.98666	5.12645	
1.98691	5.1662	
1.98715	5.4103	
1.98739	5.65441	
1.98764	5.59389	
1.98788	5.38058	
1.98812	5.25322	
1.98836	5.27864	
1.98861	5.30646	
1.98885	5.2426	
1.98909	5.08706	
1.98934	4.93153	
1.98958	4.73207	
1.98982	4.53261	
1.99007	4.48594	
1.99031	4.43927	
1.99055	4.19612	
1.9908	3.95297	
1.99104	3.80531	
1.99128	3.74933	
1.99152	3.63796	
1.99177	3.43492	
1.99201	3.29491	
1.99225	3.30768	
1.9925	3.35101	
1.99274	3.39434	
1.99298	3.35555	
1.99323	3.31675	
1.99347	3.39923	
1.99371	3.48171	
1.99396	3.61003	
1.9942	3.73835	
1.99444	3.8354	
1.99468	3.93244	
1.99493	4.12116	
1.99517	4.30987	
1.99541	4.43652	
1.99566	4.56317	
1.9959	4.78149	
1.99614	4.99981	
1.99639	5.2038	
1.99663	5.4078	
1.99687	5.61179	
1.99711	5.81579	
1.99736	6.07708	
1.9976	6.33837	
1.99784	6.59966	
1.99809	6.86095	
1.99833	6.99948	
1.99857	7.138	
1.99882	7.49043	
1.99906	7.84286	
1.9993	7.99475	
1.99955	8.14664	
1.99979	8.39021	
2.00003	8.63377	
2.00027	8.91458	
2.00052	9.19539	
2.00076	9.38452	
2.001	9.57366	
2.00125	9.51069	
2.00149	9.44773	
2.00173	9.47643	
2.00198	9.50514	
2.00222	9.33475	
2.00246	9.16435	
2.0027	8.90228	
2.00295	8.64022	
2.00319	8.32086	
2.00343	8.00149	
2.00368	7.68213	
2.00392	7.36277	
2.00416	7.02526	
2.00441	6.68775	
2.00465	6.35025	
2.00489	6.01274	
2.00514	5.79938	
2.00538	5.58601	
2.00562	5.37264	
2.00586	5.15928	
2.00611	4.92974	
2.00635	4.7002	
2.00659	4.62345	
2.00684	4.54669	
2.00708	4.54443	
2.00732	4.54216	
2.00757	4.63156	
2.00781	4.72097	
2.00805	4.77886	
2.00829	4.83675	
2.00854	4.98632	
2.00878	5.13588	
2.00902	5.24725	
2.00927	5.35862	
2.00951	5.56166	
2.00975	5.7647	
2.01	5.77914	
2.01024	5.79359	
2.01048	6.14416	
2.01073	6.49474	
2.01097	6.62759	
2.01121	6.76045	
2.01145	6.98497	
2.0117	7.2095	
2.01194	7.56772	
2.01218	7.92593	
2.01243	8.19248	
2.01267	8.45902	
2.01291	8.64822	
2.01316	8.83741	
2.0134	9.07244	
2.01364	9.30747	
2.01389	9.43782	
2.01413	9.56817	
2.01437	9.79019	
2.01461	10.0122	
2.01486	9.85703	
2.0151	9.70186	
2.01534	9.69947	
2.01559	9.69708	
2.01583	9.54764	
2.01607	9.39819	
2.01632	9.15707	
2.01656	8.91595	
2.0168	8.52014	
2.01704	8.12432	
2.01729	7.88129	
2.01753	7.63826	
2.01777	7.30523	
2.01802	6.9722	
2.01826	6.63917	
2.0185	6.30614	
2.01875	5.98744	
2.01899	5.66873	
2.01923	5.4417	
2.01948	5.21466	
2.01972	5.01723	
2.01996	4.8198	
2.0202	4.66821	
2.02045	4.51661	
2.02069	4.44428	
2.02093	4.37194	
2.02118	4.39128	
2.02142	4.41062	
2.02166	4.35195	
2.02191	4.29328	
2.02215	4.32629	
2.02239	4.35929	
2.02263	4.34359	
2.02288	4.3279	
2.02312	4.35804	
2.02336	4.38818	
2.02361	4.48874	
2.02385	4.58931	
2.02409	4.68987	
2.02434	4.79044	
2.02458	4.7258	
2.02482	4.66117	
2.02507	4.93266	
2.02531	5.20416	
2.02555	5.24815	
2.02579	5.29213	
2.02604	5.48891	
2.02628	5.68568	
2.02652	5.73731	
2.02677	5.78893	
2.02701	5.93223	
2.02725	6.07553	
2.0275	6.12572	
2.02774	6.17591	
2.02798	6.36744	
2.02822	6.55896	
2.02847	6.44491	
2.02871	6.14751	
2.02895	5.91504	
