ppm	val
2.01172	23.6256	
2.01191	22.4471	
2.01209	20.9963	
2.01227	19.4101	
2.01246	17.7122	
2.01264	15.9517	
2.01283	14.1107	
2.01301	12.3958	
2.01319	10.9278	
2.01338	9.60995	
2.01356	8.4746	
2.01374	7.47829	
2.01393	6.59639	
2.01411	5.82266	
2.0143	5.13308	
2.01448	4.54043	
2.01466	4.05015	
2.01485	3.59115	
2.01503	3.19898	
2.01522	2.91829	
2.0154	2.65786	
2.01558	2.47632	
2.01577	2.35559	
2.01595	2.27544	
2.01613	2.21607	
2.01632	2.15597	
2.0165	2.16832	
2.01669	2.14654	
2.01687	2.10476	
2.01705	2.07973	
2.01724	2.05545	
2.01742	2.06858	
2.01761	2.09032	
2.01779	2.13548	
2.01797	2.20113	
2.01816	2.3202	
2.01834	2.48711	
2.01852	2.67003	
2.01871	2.87493	
2.01889	3.12105	
2.01908	3.41749	
2.01926	3.78111	
2.01944	4.27305	
2.01963	4.80709	
2.01981	5.41615	
2.02	6.12305	
2.02018	6.83132	
2.02036	7.58428	
2.02055	8.32469	
2.02073	8.98021	
2.02091	9.5886	
2.0211	10.1921	
2.02128	10.752	
2.02147	11.2883	
2.02165	11.7689	
2.02183	12.1294	
2.02202	12.3838	
2.0222	12.3909	
2.02239	12.1537	
2.02257	11.6349	
2.02275	10.8359	
2.02294	9.88387	
2.02312	8.82141	
2.0233	7.83671	
2.02349	6.9262	
2.02367	6.12791	
2.02386	5.50126	
2.02404	4.9271	
2.02422	4.41952	
2.02441	4.00819	
2.02459	3.65237	
2.02478	3.29454	
2.02496	3.02145	
2.02514	2.78903	
2.02533	2.56058	
2.02551	2.42412	
2.02569	2.31757	
2.02588	2.23524	
2.02606	2.20158	
2.02625	2.23581	
2.02643	2.29807	
2.02661	2.39828	
2.0268	2.51693	
2.02698	2.66094	
2.02717	2.94188	
2.02735	3.24738	
2.02753	3.59319	
2.02772	4.00891	
2.0279	4.40638	
2.02808	4.79246	
2.02827	5.16185	
2.02845	5.54213	
2.02864	5.96824	
2.02882	6.54809	
2.029	7.26775	
2.02919	8.02814	
2.02937	8.84857	
2.02955	9.61765	
2.02974	10.2072	
2.02992	10.647	
2.03011	10.9968	
2.03029	11.2602	
2.03047	11.41	
2.03066	11.5041	
2.03084	11.6421	
2.03103	11.7648	
2.03121	11.778	
2.03139	11.6819	
2.03158	11.4985	
2.03176	11.3078	
2.03194	11.1111	
2.03213	10.851	
2.03231	10.5075	
2.0325	10.0193	
2.03268	9.44941	
2.03286	8.83782	
2.03305	8.17894	
2.03323	7.54183	
2.03342	6.87824	
2.0336	6.26781	
2.03378	5.74577	
2.03397	5.289	
2.03415	4.95415	
2.03433	4.64646	
2.03452	4.45082	
2.0347	4.34731	
2.03489	4.24137	
2.03507	4.24727	
2.03525	4.35954	
2.03544	4.52116	
2.03562	4.70382	
2.03581	4.93208	
2.03599	5.11651	
2.03617	5.25329	
2.03636	5.32256	
2.03654	5.24011	
2.03672	5.23524	
2.03691	5.3262	
2.03709	5.48374	
2.03728	5.76505	
2.03746	6.06709	
2.03764	6.39684	
2.03783	6.72295	
2.03801	6.97388	
2.0382	7.15338	
2.03838	7.26464	
2.03856	7.40559	
2.03875	7.69508	
2.03893	8.13508	
2.03911	8.82456	
2.0393	9.75046	
2.03948	10.7629	
2.03967	11.8097	
2.03985	12.7224	
2.04003	13.4696	
2.04022	14.045	
2.0404	14.3428	
2.04059	14.4686	
2.04077	14.5663	
2.04095	14.6959	
2.04114	14.8456	
2.04132	14.9211	
2.0415	14.8065	
2.04169	14.5154	
2.04187	14.0836	
2.04206	13.5424	
2.04224	13.0343	
2.04242	12.5749	
2.04261	12.1036	
2.04279	11.6798	
2.04297	11.3284	
2.04316	10.9707	
2.04334	10.5576	
2.04353	10.0469	
2.04371	9.3231	
2.04389	8.37771	
2.04408	7.42056	
2.04426	6.55937	
2.04445	5.79196	
2.04463	5.1668	
2.04481	4.64549	
2.045	4.18382	
2.04518	3.79321	
2.04536	3.50698	
2.04555	3.25255	
2.04573	3.0194	
2.04592	2.85641	
2.0461	2.70793	
2.04628	2.62039	
2.04647	2.52383	
2.04665	2.44577	
2.04684	2.47795	
2.04702	2.4904	
2.0472	2.48574	
2.04739	2.55613	
2.04757	2.6898	
2.04775	2.79889	
2.04794	2.95144	
2.04812	3.19246	
2.04831	3.47845	
2.04849	3.83056	
2.04867	4.23827	
2.04886	4.71435	
2.04904	5.28051	
2.04923	5.97942	
2.04941	6.80158	
2.04959	7.8227	
2.04978	9.00691	
2.04996	10.2755	
2.05014	11.7132	
2.05033	13.1733	
2.05051	14.5845	
2.0507	15.8471	
2.05088	16.8146	
2.05106	17.5392	
2.05125	17.9692	
2.05143	18.0477	
2.05162	17.901	
2.0518	17.652	
2.05198	17.2481	
2.05217	16.7523	
2.05235	16.252	
2.05253	15.849	
2.05272	15.5399	
2.0529	15.1331	
2.05309	14.6747	
2.05327	14.1197	
2.05345	13.4182	
