ppm,val
-1.573328,0.000574
-1.572932,0.000572
-1.572535,0.000553
-1.572139,0.000535
-1.571743,0.000535
-1.571346,0.000541
-1.570950,0.000531
-1.570553,0.000507
-1.570157,0.000493
-1.569760,0.000500
-1.569364,0.000515
-1.568967,0.000518
-1.568571,0.000507
-1.568174,0.000491
-1.567778,0.000479
-1.567381,0.000472
-1.566985,0.000467
-1.566589,0.000464
-1.566192,0.000458
-1.565796,0.000448
-1.565399,0.000434
-1.565003,0.000427
-1.564606,0.000438
-1.564210,0.000462
-1.563813,0.000480
-1.563417,0.000472
-1.563020,0.000445
-1.562624,0.000422
-1.562227,0.000419
-1.561831,0.000422
-1.561435,0.000411
-1.561038,0.000392
-1.560642,0.000392
-1.560245,0.000414
-1.559849,0.000435
-1.559452,0.000437
-1.559056,0.000429
-1.558659,0.000422
-1.558263,0.000412
-1.557866,0.000396
-1.557470,0.000385
-1.557074,0.000392
-1.556677,0.000403
-1.556281,0.000396
-1.555884,0.000379
-1.555488,0.000374
-1.555091,0.000388
-1.554695,0.000402
-1.554298,0.000400
-1.553902,0.000388
-1.553505,0.000372
-1.553109,0.000351
-1.552712,0.000331
-1.552316,0.000324
-1.551920,0.000335
-1.551523,0.000348
-1.551127,0.000352
-1.550730,0.000349
-1.550334,0.000344
-1.549937,0.000332
-1.549541,0.000314
-1.549144,0.000305
-1.548748,0.000315
-1.548351,0.000329
-1.547955,0.000331
-1.547559,0.000326
-1.547162,0.000330
-1.546766,0.000337
-1.546369,0.000335
-1.545973,0.000329
-1.545576,0.000327
-1.545180,0.000323
-1.544783,0.000301
-1.544387,0.000267
-1.543990,0.000246
-1.543594,0.000250
-1.543197,0.000260
-1.542801,0.000266
-1.542405,0.000277
-1.542008,0.000300
-1.541612,0.000317
-1.541215,0.000316
-1.540819,0.000305
-1.540422,0.000295
-1.540026,0.000281
-1.539629,0.000256
-1.539233,0.000233
-1.538836,0.000231
-1.538440,0.000251
-1.538043,0.000269
-1.537647,0.000269
-1.537251,0.000253
-1.536854,0.000237
-1.536458,0.000232
-1.536061,0.000235
-1.535665,0.000229
-1.535268,0.000205
-1.534872,0.000179
-1.534475,0.000174
-1.534079,0.000190
-1.533682,0.000203
-1.533286,0.000194
-1.532890,0.000178
-1.532493,0.000178
-1.532097,0.000192
-1.531700,0.000203
-1.531304,0.000205
-1.530907,0.000208
-1.530511,0.000212
-1.530114,0.000210
-1.529718,0.000205
-1.529321,0.000204
-1.528925,0.000207
-1.528528,0.000199
-1.528132,0.000180
-1.527736,0.000162
-1.527339,0.000151
-1.526943,0.000143
-1.526546,0.000137
-1.526150,0.000141
-1.525753,0.000155
-1.525357,0.000161
-1.524960,0.000146
-1.524564,0.000125
-1.524167,0.000117
-1.523771,0.000122
-1.523375,0.000124
-1.522978,0.000120
-1.522582,0.000121
-1.522185,0.000132
-1.521789,0.000140
-1.521392,0.000135
-1.520996,0.000119
-1.520599,0.000103
-1.520203,0.000094
-1.519806,0.000092
-1.519410,0.000097
-1.519013,0.000106
-1.518617,0.000111
-1.518221,0.000103
-1.517824,0.000092
-1.517428,0.000095
-1.517031,0.000112
-1.516635,0.000116
-1.516238,0.000091
-1.515842,0.000058
-1.515445,0.000054
-1.515049,0.000080
-1.514652,0.000101
-1.514256,0.000092
-1.513859,0.000076
-1.513463,0.000082
-1.513067,0.000098
-1.512670,0.000091
-1.512274,0.000060
-1.511877,0.000037
-1.511481,0.000034
-1.511084,0.000035
