ppm	val
1.77506	0.00942049	
1.7753	0.00894845	
1.77555	0.00847642	
1.77579	0.00800438	
1.77604	0.00753235	
1.77628	0.00731097	
1.77653	0.00708959	
1.77677	0.00686821	
1.77702	0.00664683	
1.77726	0.00677062	
1.77751	0.0068944	
1.77775	0.00570327	
1.77799	0.00451214	
1.77824	0.00475663	
1.77848	0.00500113	
1.77873	0.00524562	
1.77897	0.00549011	
1.77922	0.00506071	
1.77946	0.00463131	
1.77971	0.00551682	
1.77995	0.00640234	
1.7802	0.00642905	
1.78044	0.00645576	
1.78069	0.00569351	
1.78093	0.00493127	
1.78118	0.00670025	
1.78142	0.00846923	
1.78166	0.00839731	
1.78191	0.00832541	
1.78215	0.00901574	
1.7824	0.00970607	
1.78264	0.0111854	
1.78289	0.0126646	
1.78313	0.0123359	
1.78338	0.0120072	
1.78362	0.0108895	
1.78387	0.00977182	
1.78411	0.0116867	
1.78436	0.0136015	
1.7846	0.0115716	
1.78484	0.00954171	
1.78509	0.0100101	
1.78533	0.0104786	
1.78558	0.011736	
1.78582	0.0129934	
1.78607	0.012583	
1.78631	0.0121726	
1.78656	0.0136031	
1.7868	0.0150335	
1.78705	0.0153957	
1.78729	0.0157578	
1.78754	0.0161199	
1.78778	0.016482	
1.78802	0.0168359	
1.78827	0.0171898	
1.78851	0.0162288	
1.78876	0.0152678	
1.789	0.0139945	
1.78925	0.0127211	
1.78949	0.0122368	
1.78974	0.0117524	
1.78998	0.0109311	
1.79023	0.0101098	
1.79047	0.0120498	
1.79072	0.010834	
1.79096	0.00758011	
1.7912	0.00748201	
1.79145	0.0086002	
1.79169	0.00656259	
1.79194	0.00649736	
1.79218	0.00801003	
1.79243	0.00764894	
1.79267	0.00728785	
1.79292	0.00715687	
1.79316	0.0070259	
1.79341	0.00689492	
1.79365	0.00676394	
1.7939	0.006992	
1.79414	0.00722005	
1.79439	0.00725087	
1.79463	0.00728169	
1.79487	0.0100738	
1.79512	0.00971018	
1.79536	0.00845895	
1.79561	0.0103635	
1.79585	0.0126133	
1.7961	0.0132851	
1.79634	0.0142528	
1.79659	0.0152205	
1.79683	0.0158595	
1.79708	0.0164984	
1.79732	0.0163485	
1.79757	0.0161985	
1.79781	0.0152102	
1.79805	0.014222	
1.7983	0.0150746	
1.79854	0.0159273	
1.79879	0.0134433	
1.79903	0.0109594	
1.79928	0.0108422	
1.79952	0.0107251	
1.79977	0.011023	
1.80001	0.011321	
1.80026	0.0116189	
1.8005	0.0119168	
1.80075	0.0119188	
1.80099	0.0119209	
1.80123	0.0127119	
1.80148	0.0135029	
1.80172	0.0134315	
1.80197	0.0133601	
1.80221	0.0132887	
1.80246	0.0132173	
1.8027	0.013524	
1.80295	0.0138306	
1.80319	0.0133483	
1.80344	0.012866	
1.80368	0.0110318	
1.80393	0.00919757	
1.80417	0.00867828	
1.80441	0.00815899	
1.80466	0.00791912	
1.8049	0.00767925	
1.80515	0.00743938	
1.80539	0.00719951	
1.80564	0.00740753	
1.80588	0.00761556	
1.80613	0.00598269	
1.80637	0.00434983	
1.80662	0.00519888	
1.80686	0.00604793	
1.80711	0.00610802	
1.80735	0.00616812	
1.8076	0.00563239	
1.80784	0.00509666	
1.80808	0.00587586	
1.80833	0.00665505	
1.80857	0.00684253	
1.80882	0.00703001	
1.80906	0.00711887	
1.80931	0.00720772	
1.80955	0.00908405	
1.8098	0.00938248	
1.81004	0.0096809	
1.81029	0.0115572	
1.81053	0.0114283	
1.81078	0.0112994	
1.81102	0.0121566	
1.81126	0.011436	
1.81151	0.0117057	
1.81175	0.0119753	
1.812	0.0111602	
1.81224	0.0119229	
1.81249	0.0122583	
1.81273	0.0110159	
1.81298	0.0112198	
1.81322	0.00879385	
1.81347	0.00650352	
1.81371	0.00894691	
1.81396	0.00872759	
1.8142	0.00587842	
1.81444	0.00649736	
1.81469	0.0071163	
1.81493	0.00592722	
1.81518	0.00736798	
1.81542	0.0085211	
1.81567	0.00704439	
1.81591	0.00642237	
1.81616	0.00580035	
1.8164	0.00604947	
1.81665	0.00629858	
1.81689	0.00575875	
1.81714	0.00521891	
1.81738	0.00562982	
1.81763	0.00604073	
1.81787	0.00461076	
1.81811	0.00475869	
1.81836	0.00671463	
1.8186	0.00604073	
1.81885	0.00415054	
1.81909	0.00489018	
1.81934	0.00435599	
1.81958	0.00382181	
1.81983	0.00627906	
1.82007	0.00715842	
1.82032	0.00468472	
1.82056	0.00378894	
1.82081	0.00479978	
1.82105	0.00581062	
1.82129	0.00550244	
1.82154	0.00519426	
1.82178	0.00567502	
1.82203	0.00615579	
1.82227	0.00565037	
1.82252	0.00514495	
1.82276	0.00542848	
1.82301	0.005712	
1.82325	0.0051696	
1.8235	0.0046272	
1.82374	0.00582706	
1.82399	0.00702692	
1.82423	0.00743784	
1.82447	0.00627084	
1.82472	0.00589281	
